Destination,Budget Type,Hotel Name,Booking Link
Bengaluru,Low,Zostel Bangalore,https://www.booking.com/city/in/bangalore.en-gb.html
Bengaluru,Medium,The Chancery Pavilion,https://www.booking.com/city/in/bangalore.en-gb.html
Bengaluru,Luxury,The Leela Palace Bengaluru,https://www.booking.com/city/in/bangalore.en-gb.html

Srinagar,Low,Young Bombay Group of Houseboats,https://www.booking.com/city/in/srinagar.en-gb.html
Srinagar,Medium,Hotel Grand Mamta,https://www.booking.com/city/in/srinagar.en-gb.html
Srinagar,Luxury,Taj Dal View,https://www.booking.com/city/in/srinagar.en-gb.html

Leh,Low,Zostel Leh,https://www.booking.com/city/in/leh.en-gb.html
Leh,Medium,The Grand Dragon Ladakh,https://www.booking.com/city/in/leh.en-gb.html
Leh,Luxury,The Indus Valley,https://www.booking.com/city/in/leh.en-gb.html

Andaman,Low,Hotel Shompen,https://www.booking.com/city/in/port-blair.en-gb.html
Andaman,Medium,SeaShell Resort,https://www.booking.com/city/in/port-blair.en-gb.html
Andaman,Luxury,Taj Exotica Resort & Spa,https://www.booking.com/city/in/port-blair.en-gb.html

Dubai,Low,Citymax Hotel,https://www.booking.com/city/ae/dubai.en-gb.html
Dubai,Medium,Rove Downtown,https://www.booking.com/city/ae/dubai.en-gb.html
Dubai,Luxury,Burj Al Arab,https://www.booking.com/city/ae/dubai.en-gb.html

Singapore,Low,Hotel 81,https://www.booking.com/city/sg/singapore.en-gb.html
Singapore,Medium,YOTEL Singapore,https://www.booking.com/city/sg/singapore.en-gb.html
Singapore,Luxury,Marina Bay Sands,https://www.booking.com/city/sg/singapore.en-gb.html

Bali,Low,The Island Hotel,https://www.booking.com/region/id/bali.en-gb.html
Bali,Medium,The Haven Bali,https://www.booking.com/region/id/bali.en-gb.html
Bali,Luxury,The Apurva Kempinski,https://www.booking.com/region/id/bali.en-gb.html

Paris,Low,Generator Paris,https://www.booking.com/city/fr/paris.en-gb.html
Paris,Medium,Novotel Paris Centre,https://www.booking.com/city/fr/paris.en-gb.html
Paris,Luxury,The Ritz Paris,https://www.booking.com/city/fr/paris.en-gb.html

Maldives,Low,UI Inn,https://www.booking.com/country/mv.en-gb.html
Maldives,Medium,Kaani Village,https://www.booking.com/country/mv.en-gb.html
Maldives,Luxury,Soneva Jani,https://www.booking.com/country/mv.en-gb.html

Bangkok,Low,D&D Inn,https://www.booking.com/city/th/bangkok.en-gb.html
Bangkok,Medium,Eastin Grand Hotel,https://www.booking.com/city/th/bangkok.en-gb.html
Bangkok,Luxury,The Siam Hotel,https://www.booking.com/city/th/bangkok.en-gb.html

London,Low,Generator London,https://www.booking.com/city/gb/london.en-gb.html
London,Medium,Park Plaza Westminster,https://www.booking.com/city/gb/london.en-gb.html
London,Luxury,The Savoy,https://www.booking.com/city/gb/london.en-gb.html

Tokyo,Low,Hotel Mystays,https://www.booking.com/city/jp/tokyo.en-gb.html
Tokyo,Medium,Shibuya Excel Hotel Tokyu,https://www.booking.com/city/jp/tokyo.en-gb.html
Tokyo,Luxury,The Ritz-Carlton Tokyo,https://www.booking.com/city/jp/tokyo.en-gb.html

New York,Low,HI NYC Hostel,https://www.booking.com/city/us/new-york.en-gb.html
New York,Medium,Pod Times Square,https://www.booking.com/city/us/new-york.en-gb.html
New York,Luxury,The Plaza Hotel,https://www.booking.com/city/us/new-york.en-gb.html

Zurich,Low,Oldtown Hostel Otter,https://www.booking.com/city/ch/zurich.en-gb.html
Zurich,Medium,Hotel St. Josef,https://www.booking.com/city/ch/zurich.en-gb.html
Zurich,Luxury,Baur au Lac,https://www.booking.com/city/ch/zurich.en-gb.html
